Age,Gender,Gender_3_TEXT,HL,Race,Race_5_TEXT,Education,Income,IPrelationship,IPrelationship_4_TEXT,IPInitials,ECRRS_1,ECRRS_2,ECRRS_3,ECRRS_4,ECRRS_5,ECRRS_6,ECRRS_7,ECRRS_8,ECRRS_9,BaselineMood_P,BaselineMood_N,StressorDescription,DescriptionTiming_FirstClick,DescriptionTiming_LastClick,DescriptionTiming_PageSubmit,DescriptionTiming_ClickCount,TimeofStressor,PostStressorMood_P,PostStressorMood_N,PRChoice_Prob,PRChoice_PerEff,RSChoice_Prob,RSChoice_PerEff,PDChoice_Prob,PDChoice_PerEff,PreChoiceMood_P,PreChoiceMood_N,ERChoice,PRTask,PRTaskTiming_FirstClick,PRTaskTiming_LastClick,PRTaskTiming_PageSubmit,PRTaskTiming_ClickCount,RSTask,RSTaskTiming_FirstClick,RSTaskTiming_LastClick,RSTaskTiming_PageSubmit,RSTaskTiming_ClickCount,PDTask,PDTaskTiming_FirstClick,PDTaskTiming_LastClick,PDTaskTiming_PageSubmit,PDTaskTiming_ClickCount,PostTaskMood_P,PostTaskMood_N,PROLIFIC_PID,ECR1R,ECR2R,ECR3R,ECR4R,Avoidance,Anxiety,ZAvoidance,ZAnxiety,filter_$
29,2, ,2,1, ,2,8,1, ,TG,7,7,7,6,2,1,1,1,1,8,1,"TG and I recently had a baby together. I'll call her IG. IG is almost 5 months old, and having a new baby around has been a really big adjustment. TG and I have been a really great team as we've transitioned into being new parents, but naturally, bringing a whole new person in to the mix is going to cause some conflict. Our biggest conflict recently has been regarding how to manage taking care of a baby while also keeping our house somewhat clean and clutter-free. We are sleep deprived, I'm working a full time job, and he's a freelancer. Any time I'm not with IG, he takes her, but being so overworked and tired means that our house cleaning often falls through the cracks. Recently, he shared with me that he's a bit stressed out because there's a lot of clutter around the house and there's really no place that is fully clean. I was a little frustrated with this because I'm working full time and caring for a baby, and I tend to contribute more to house cleaning than he does, but we talked it out and ultimately came to the conclusion that we'd create a daily cleaning schedule. I think the reason we had this conflict was because there's so much change in our life that we were overhwelmed with the smaller tasks involved with cleaning, and making this schedule has already helped us each balance our responsibilities and keep things from being too messy.",5.794,258.25,261.462,7,1,7,1,1,0,10,7,7,6,7,1,2, , , , , ,"The absolute best thing about my relationship is how supportive and caring TG is. I can pretty much always rely on him to support me through all of my struggles, and I never fear that he doesn't love me. I really have never met anyone as supportive as he is. I'm a pretty anxious person, but knowing that he will always have my back is so helpful and makes me feel secure in our relationship.",9.229,10.146,85.218,2, , , , , ,9,0,5f12000428aff9112e0bd062,1,1,1,2,1.33333333333333,1,-.727943403486907,-1.00584631080832,1
33,2, ,2,1, ,3,4,1, ,JD,7,7,6,7,1,1,2,2,4,7,2,JD was mad that I wouldn't get out of the vehicle to pay for a bill.  He said that I never wanted to get out and do anything. It made me feel really bad because the day before I got out when I didn't want to to get him breakfast.,2.775,33.052,165.143,2,1,4,4,0,0,10,10,9,3,8,3,2, , , , , ,"JD does everything for me and his family. He's so caring and loving, and after the conflict he tried to make me smile to relieve the tenson.  He's such a great and funny guy.",2.593,28.539,80.881,3, , , , , ,9,0,5a524a3bac5624000153629c,1,1,2,1,1.16666666666667,2.66666666666667,-.884604362489753,.0279833594969865,1
21,2, ,2,1, ,2,8,1, ,SP,7,6,6,7,1,1,1,1,1,7,3,I felt unheard on a serious note and it piled up after a long time. It opened up a fight that should of been discussed for a while now. It showed that we need to bring up problems earlier before its a big problem. I   feel better about it now and heard,9.089,10.625,99.151,4,6,7,2,7,8,8,7,9,7,8,2,1,I learn that me and the person are very similar and are usually feeling the same way. It helps me understand that we can talk about problems because we both are probadly feeling the same way either good or bad,19.727,19.727,72.893,1, , , , , , , , , , ,9,1,60ff93eb3ecd29637bc70d30,1,2,2,1,1.33333333333333,1,-.727943403486907,-1.00584631080832,0
30,2, ,1,5,Caucasian and Hispanic,2,9,1, ,JG,7,7,7,7,1,1,1,1,1,7,3,"We had a discussion about our income and where our finances should be allocated. We became defensive when we had opposing opinions/views about this. At the time I felt like my ideas were not being heard or viewed as feasible, but after talking about how we felt calmly I felt much better and the issue was resolved.",5.064,102.126,120.857,4,2,7,3,5,3,8,5,8,5,7,3,3, , , , , , , , , , ,"I chose to think about upcoming positive events in my life, some of which include my partner and some that do not. This makes the argument seem less significant.",11.315,69.525,284.783,7,7,3,6136989030a188d0ef22d66b,1,1,1,1,1,1,-1.0412653214926,-1.00584631080832,0
43,2, ,2,1, ,3,6,2, ,KL,7,7,7,7,1,1,1,1,1,8,1,"KL and I planned a vacation together, but we did not agree on location. KL thinks because her family is bigger they should get to choose. I was frustrated because we do typically go with her family’s choices because of this, abs she refused to budge.",9.074,48.591,173.451,3,2,6,2,10,8,6,3,7,4,7,1,1,"I compromised. I usually handle location logistics, so I said if we went to her place, she had to handle those plans this time. I liked giving up that responsibility, and I am less stressed and more excited than I would have been.",8.41,64.185,97.759,4, , , , , , , , , , ,7,1,60fd8ac317fc16708964a410,1,1,1,1,1,1,-1.0412653214926,-1.00584631080832,0
24,2, ,2,1, ,2,1,2, ,TH,6,6,5,5,3,4,3,6,3,6,3,She said that I was being dramatic about my anxiety and didn’t understand why I was struggling with it. It caused me to be angry and we had an argument and didn’t speak for a few hours. It made me feel awful about myself and life in general and it was hard to move on from it.,9.659,11.498,79.006,3,3,2,9,4,3,4,7,6,6,4,7,3, , , , , , , , , , ,I like to think about my dog because he has a comical personality and makes me feel better everyday. He enjoys training and hiking with me. Getting him this year is the best thing that has happened,15.45,55.82,65.03,3,10,3,60fe176cf09dbffb8b98b640,2,2,3,3,2.83333333333333,4,.682005227538706,.855047095741231,0
22,2, ,2,1, ,1,3,3, ,ES,7,6,6,6,2,2,1,3,3,5,2,The conflict was that we hadn't talked in a while and I felt like ES didn't want to talk to me. We live far apart so talking on the phone is our main way of communicating. They hadn't had time to reach out to me due to a busy schedule. I feel much better about it now because they apologized and explained why.,1.117,1.117,100.906,1,4,5,2,4,3,4,5,3,3,5,1,2, , , , , ,ES was my first closest friend. They made me feel like I could be myself more than any friend ever had. ES showed me what true friendship is like and I feel so loved by them.,6.604,7.411,65.08,2, , , , , ,6,1,610870dc33a6fb5453f142b0,1,2,2,2,1.83333333333333,2.33333333333333,-.25796052647837,-.178782574564074,1
32,1, ,2,1, ,2,2,2, ,SD,7,5,5,7,5,3,1,1,1,3,7,A misunderstanding between SD and myself led to a verbal fight. The next day we were able to communicate our feelings and realized we had both been at fault.,8.386,8.386,79.787,1,3,3,7,0,0,0,0,0,0,3,7,2, , , , , ,This person has always been there for me for over 30 years. I never have to question their love for me.,16.788,16.788,75.709,1, , , , , ,3,7,5f172ae778443b0586a856d4,1,3,3,1,2.66666666666667,1,.52534426853586,-1.00584631080832,1
20,2, ,2,1, ,1,9,2, ,MG,6,7,7,6,2,5,5,5,3,6,4,"The person I am thinking of is my mother, and last time we had a conflict it was about the logistics of planning a trip. She often waits very last-minute to plan things despite me telling her I need to know about plans ahead of time for my own logistics in my own daily life, and yet she cannot seem to provide any details until just a couple days before. This happened again a few weeks ago, and I got very annoyed, especially when my mother accused me of being selfish by asking for more detailed information. It was not a serious fight but it was still a frustrating experience.",.868,49.587,128.537,3,1,5,5,5,4,3,1,8,5,6,4,3, , , , , , , , , , ,I chose to think about something positive unrelated to the conflict or person; I instead thought about getting dinner with some of my friends tomorrow night. I am looking forward to this plan and know it will be a very fun experience because we haven't seen each other in a while.,16.853,16.853,66.702,1,6,3,610d4495917435190c998bf3,2,1,1,2,2.16666666666667,4.33333333333333,.0553613915273219,1.06181302980229,0
35,2, ,2,1, ,2,8,1, ,BW,7,7,7,7,1,1,3,3,3,8,1,I think our last argument was over him wanting to spend $1000 on an advanced electric car charger and I said it was unnecessary at this time.,2.292,7.472,82.174,2,1,9,1,1,1,9,5,1,1,8,2,2, , , , , ,"We have been together a very long time and when we argue about spending money, it's helpful for me to explain if I will ever consider saying yes and the conditions for that, which is what I did.",2.786,2.786,65.988,1, , , , , ,9,1,614fda4ec57d13d0b2f7d6e0,1,1,1,1,1,3,-1.0412653214926,.234749293558048,1
